l2_province,l3_city,l3_city_id,longitude,latitude,,,,,,,,,
Kalimantan Tengah,Pulang Pisau,98e6c1d6-106f-47ca-ad8e-3435e324c918,113.8623,-3.11858,,,,,,,,,
Kalimantan Tengah,Seruyan,7e8fd16e-fe5f-453c-bdb2-a2dc99634dd0,112.25,-2.55,,,,,,,,,
Kalimantan Tengah,Sukamara,f52acb8f-0165-4025-80e6-dfc48d4958de,111.23681,-2.62675,,,,,,,,,
Kalimantan Tengah,waringin Barat,f5868376-1226-4cbc-8e77-a50f30c9a929,111.7,-2.51667,,,,,,,,,
Kalimantan Tengah,waringin Timur,974fe6bb-916f-46fa-be9a-2c57ebe5532a,112.76667,-2.08333,,,,,,,,,
Kalimantan Timur,Balikpapan,513f150c-4fba-415a-9a68-75b755b4f506,116.86667,-1.15,,,,,,,,,
Kalimantan Timur,Berau,3c17e708-476b-444e-8dde-afab2f22c5b5,117.11833,2.02889,,,,,,,,,
Kalimantan Timur,Bontang,532a2053-0cb4-47a1-a604-0589125f6545,117.49603,0.12526,,,,,,,,,
Kalimantan Timur,Kutai Barat,a8435342-bdc7-4c96-9c75-c4f8f031d8f7,115.51575,-0.59417,,,,,,,,,
Kalimantan Timur,Kutai Kartanegara,27abf39f-2956-443a-9294-0424a220768a,116.98139,-0.44019,,,,,,,,,
Kalimantan Timur,Kutai Timur,4df77b7d-1035-47ec-b236-e0d685c5831c,117.83112,1.03769,,,,,,,,,
Kalimantan Timur,Mahakam Hulu,38649d3f-8a5c-4cdf-9282-a982bce193e7,115.38048,0.37822,,,,,,,,,
Kalimantan Timur,Paser,7c321023-0b1e-405e-8050-cfeac36f973c,116.23535,-1.43517,,,,,,,,,
Kalimantan Timur,Penajam Paser Utara,09931c18-622d-4770-94b8-351c3b1cb60a,116.57169,-1.20333,,,,,,,,,
Kalimantan Timur,Samarinda,9f20ece5-d293-4345-ab25-e9fc1155c818,117.14,-0.5,,,,,,,,,
Kalimantan Utara,Bulungan,569f706e-d4c2-4e22-befa-eb0eca6d8508,117.16667,3,,,,,,,,,
Kalimantan Utara,Malinau,c6211916-4da5-4343-85e0-4d716abe04eb,115.71667,2.48333,,,,,,,,,
Kalimantan Utara,Nunukan,d0ca647d-7d25-43d1-8fdf-7ecdca02ffa9,116.68333,4.1,,,,,,,,,
Kalimantan Utara,Tana Tidung,117694bc-451f-4f5d-b6b5-4af27fd18757,116.96667,3.55,,,,,,,,,
Kalimantan Utara,Tarakan,a000ca99-a138-4532-847c-7fff9b0746a1,117.6,3.35,,,,,,,,,
Kepulauan Bangka Belitung,Bangka,54a779d9-7ff5-4ef5-8dc1-a2d47ced83f9,105.96667,-1.91667,,,,,,,,,
